,Aurukun Shire Council,Balonne Shire Council,Banana Shire Council,Barcaldine Regional Council,Barcoo Shire Council,Blackall-Tambo Regional Council,Boulia Shire Council,Brisbane City Council,Bulloo Shire Council,Bundaberg Regional Council,Burdekin Shire Council,Burke Shire Council,Cairns Regional Council,Carpentaria Shire Council,Cassowary Coast Regional Council,Central Highlands Regional Council,Charters Towers Regional Council,Cherbourg Shire Council,Cloncurry Shire Council,Cook Shire Council,Croydon Shire Council,Diamantina Shire Council,Doomadgee Shire Council,Douglas Shire Council,Etheridge Shire Council,Flinders Shire Council,Fraser Coast Regional Council,Gladstone Regional Council,Gold Coast City Council,Goondiwindi Regional Council,Gympie Regional Council,Hinchinbrook Shire Council,Hope Vale Shire Council,Ipswich City Council,Isaac Regional Council,Kowanyama Shire Council,Livingstone Shire Council,Lockhart River Shire Council,Lockyer Valley Regional Council,Logan City Council,Longreach Regional Council,Mackay Regional Council,Mapoon Shire Council,Maranoa Regional Council,Mareeba Shire Council,McKinlay Shire Council,Moreton Bay Regional Council,Mornington Shire Council,Mount Isa City Council,Murweh Shire Council,Napranum Shire Council,Noosa Shire Council,North Burnett Regional Council,Northern Peninsula Area Regional Council,Palm Island Shire Council,Paroo Shire Council,Pormpuraaw Shire Council,Quilpie Shire Council,Redland City Council,Richmond Shire Council,Rockhampton Regional Council,Scenic Rim Regional Council,Somerset Regional Council,South Burnett Regional Council,Southern Downs Regional Council,Sunshine Coast Regional Council,Tablelands Regional Council,Toowoomba Regional Council,Torres Shire Council,Torres Strait Island Regional Council,Townsville City Council,Weipa Town Council,Western Downs Regional Council,Whitsunday Regional Council,Winton Shire Council,Woorabinda Shire Council,Wujal Wujal Shire Council,Yarrabah Shire Council
2001,10473,4738,2573,1817,2712,2737,6575,5206,3042,4575,4340,13929,7127,7463,6168,5751,6793,15274,7606,9186,13237,5743,13772,9044,7200,7882,8969,9620,9992,9751,9256,8719,9825,10857,9216,25942,10213,11599,10695,12070,12530,12103,10812,12291,13054,11894,13144,23148,17152,14795,17560,14826,13772,17859,18380,18058,18548,15062,15484,15496,17543,15793,16247,17277,17134,18164,17643,18118,21003,18703,20108,18721,19153,20617,19152,30436,20469,25240
2002,9982,4427,2825,1839,3021,2505,5273,4896,3310,4465,4183,12913,6928,7765,6013,5489,6418,13112,7109,9045,10123,8089,16338,9193,6865,8117,8810,9137,9877,9391,9248,8878,11030,10762,9481,26369,10328,17873,10441,12040,12890,12222,10634,12519,13131,11953,13004,23005,15918,14703,15260,14593,13925,16523,18957,19635,20924,15459,15404,15777,17169,15764,16308,17469,17189,17841,17846,18001,20434,18504,20092,18235,19101,20325,19923,31463,19916,27032
2003,10295,3389,2128,1655,2363,1898,4650,4687,3025,4422,4024,13521,6925,10034,5945,5409,6271,12215,10655,9679,9373,7284,15158,9903,6518,8512,8858,9352,9659,9080,9279,8760,9170,10725,9544,19453,10208,17315,10761,12611,12461,12275,11728,12233,13274,11716,13004,21845,16360,14427,17609,14801,13611,16352,19927,19211,23830,15268,15312,16449,17691,15761,16165,17741,16909,17937,17882,18036,19873,18090,20098,19768,19341,20335,21026,30765,23748,23791
2004,16724,3953,2306,1795,2368,2678,4795,4629,3469,4361,4190,9582,6564,9701,5779,5312,5936,14918,8963,10296,8396,8783,17252,8991,6802,8430,8607,9003,9552,9409,9240,8875,10823,10998,9443,17040,10130,17714,10503,12076,12125,12249,13618,12449,12905,12298,12937,23579,16353,14592,18112,14415,14022,16556,19120,18801,28360,14876,15369,16507,17565,15837,16120,17161,17122,17638,18175,17860,20627,17955,19619,19318,19775,19932,19384,32403,23189,24296
2005,18436,3878,2316,2092,2726,2861,5911,4411,3201,4501,4092,9024,6379,9697,6492,5282,6264,20494,8404,10254,9756,11217,17526,9387,6445,7821,8818,8757,9404,9545,9198,9124,11055,10595,9271,17299,10065,15264,10642,11750,11768,11847,12093,12210,13163,11962,13054,22908,16361,14573,18231,14139,14028,17554,21872,20470,22687,14896,15259,15687,17556,15814,16209,17885,16858,17543,17630,17921,19901,19757,19922,20001,19469,20042,19421,32982,23083,24139
2006,17222,3557,2132,1969,2857,5661,3114,4441,4651,4309,4807,7073,6373,10748,5792,5311,6103,19581,8027,10053,11699,8974,13518,8916,6583,7878,8690,8889,9366,9602,9213,8923,12329,10481,9441,18690,9973,18732,10293,11667,12722,12109,12306,12196,13230,11997,12887,27024,15810,17038,18145,14042,13974,17946,24356,20023,26822,14654,15389,16067,17631,15636,16188,17733,16979,17537,17716,18013,19879,18100,20033,21175,19301,20358,18801,38947,30378,24296
2007,20382,3735,2027,1894,5006,2382,5622,4106,3547,4273,4564,10553,6230,8552,5761,5296,5614,16849,8175,10644,9195,8770,16262,8480,6712,8353,8505,8677,9112,9294,8977,9191,11806,10377,9371,18377,10010,21230,10415,11617,12551,11894,11926,12695,13316,11944,12746,24165,15599,15543,18792,13970,13580,17456,22281,20111,22465,14813,15286,15415,17426,15948,16652,16938,17085,17405,17705,18101,19393,18388,19794,20529,19219,20075,18469,41364,28783,24448
2008,15405,3608,2096,1729,4224,3071,5550,4016,4089,4176,4567,11142,6260,10075,6098,5586,5991,16733,8018,11215,11235,7814,12401,8537,7002,8267,8302,8791,9077,9276,9106,9189,13318,10494,9576,18467,10064,20534,10661,11572,13618,11809,11179,12990,13262,12152,12671,31755,16218,15282,19437,14016,13688,18697,23066,19681,21916,14500,15184,15383,17650,15549,16272,17098,17015,17268,17738,18109,19064,17955,19526,20271,18905,20005,19176,33902,31244,25426
2009,15837,4010,2040,2155,3199,2948,4935,3847,3358,4261,4551,12627,6303,12128,5894,5411,5684,28971,8032,10968,8541,7423,13038,8601,7034,8937,8663,8758,9176,9917,8981,8996,15254,10181,9470,19085,10145,21379,10526,11484,13076,11751,10937,12659,13378,12107,12684,32214,15711,14089,20642,14232,13771,19440,23958,18966,24574,14550,15197,16058,17652,15748,16291,17436,17060,17346,17754,17876,20378,17952,19725,19759,19145,20041,19183,42267,26934,26012
2010,13545,3957,2067,2248,5340,2821,5637,3872,2475,4321,4870,10026,5961,11722,5538,5250,5832,26690,9681,9868,8152,6833,13646,8281,7439,7877,8690,8620,9032,9656,9034,9340,14145,10152,9587,16042,9927,20803,10598,11535,12699,11667,11656,12707,13353,11859,12687,24206,16184,14360,20614,14228,13390,18212,23955,18486,22652,14845,15228,16119,17567,15647,16399,17273,17099,17073,17548,18007,19280,18255,19645,20206,18874,19795,19074,33427,27983,25022
2011,12471,4289,1983,2176,2861,3126,5007,3822,3689,4250,4843,7539,6163,10443,5357,5533,5742,25861,9072,10437,8286,7479,13730,8532,7279,8127,8522,8357,9134,9378,9001,9066,16154,10085,9524,17371,10049,20669,10564,11790,13096,11733,13271,12931,13032,11768,12710,27318,16892,14471,19130,14075,13739,16379,22556,20226,20277,14480,15197,15378,17731,15634,16256,17525,17149,17084,17380,17924,19992,18143,19700,19601,18853,20058,20048,34049,28863,26432
2012,12948,3471,2414,2334,2375,3077,4366,3916,4872,4153,4502,6938,6364,8989,5679,5349,5797,22915,7827,9470,7224,7071,13426,8765,8125,7821,8307,8649,9151,9309,8891,9593,16149,10322,9627,20612,10138,16808,10886,12250,15321,11793,13096,13401,13293,11815,12955,26446,16476,14230,19047,14100,13857,16536,22745,20987,20980,14684,15249,15836,17862,16042,16442,17291,17216,17005,17348,18090,20613,18098,19907,19805,19140,20019,18971,37850,25798,26334
2013,17224,4050,2580,2921,3321,2704,5239,3844,4100,4116,4710,8741,6208,10379,6182,5514,6100,17223,7629,9458,7792,6611,15479,8292,6914,8041,8348,8938,9036,9000,9021,9172,14957,10478,9803,22573,10133,18917,10695,12244,13101,11838,13105,12988,13114,12551,12946,31744,15907,14921,20220,13814,14131,16612,23504,19985,24266,14900,15263,16080,17607,15950,16391,17209,17509,16976,17580,17951,20156,17680,19797,19722,19392,20040,19793,34939,34320,27657
2014,13638,4764,2637,2310,3156,2926,4203,3779,4391,4178,4671,15369,6062,9168,6043,5524,6352,20700,7725,9841,7137,7126,17139,8140,8108,8601,8461,8908,8994,9100,9216,9358,14502,10434,9610,28705,10233,14714,10989,12113,12671,12071,11288,13860,13379,11789,13064,29841,16904,14677,21662,13919,14110,17163,24936,19395,20785,14980,15227,16015,17541,16009,16677,17385,17305,17066,18159,18165,20055,17978,19511,19300,19587,20446,19742,44907,28436,26027
2015,17636,5000,2332,3080,2413,3471,5475,3795,5467,4105,4676,6516,6272,10508,6127,5975,6646,23422,8477,10045,6241,5794,19098,8074,7988,9259,8424,8838,9097,9650,9261,10103,12863,10367,9424,32179,10038,17288,11300,12108,12755,12135,11731,13298,13541,12183,13164,31884,17952,14553,18170,14043,14108,16188,23532,20829,26174,14759,15293,16090,17718,15815,16567,17564,17498,17138,18059,18445,19653,18160,19873,19289,20317,20044,20352,41383,32628,23968
2016,17898,5271,2527,3833,3183,3877,5654,3942,5281,4372,4637,9190,6558,11339,6469,6027,6450,27664,8357,10569,7186,6043,21638,8015,7678,8609,8721,8827,9376,9700,9549,9738,14954,10851,9675,28911,10377,19194,11577,12255,12533,12527,12194,13225,13764,12256,13315,32992,18469,15495,18171,14030,14081,15965,22629,19381,21735,15295,15263,15682,17998,16026,16680,17714,17373,17217,18138,18471,19772,18386,20237,19380,20761,19922,20199,47816,34389,24169
2017,18639,7420,2466,2641,3639,4394,3658,3904,3811,4419,5127,7552,6497,11060,5920,6508,6598,24446,8972,10551,6488,7070,21767,8092,7225,9170,8475,8691,9088,9984,9226,10310,14243,11032,9519,22758,10096,16410,11304,12152,12735,12527,11740,13264,13930,12536,13176,27168,19246,15223,20340,13877,14273,16066,22168,20566,19845,15878,15315,16304,17910,15785,16923,17866,17465,17228,18084,18772,19552,18209,19970,19735,20574,20004,18940,36318,32172,23268
2018,18796,4664,2326,2207,3027,3492,5822,3986,4017,4585,5194,7186,6466,10543,6096,6122,6584,21706,8932,9933,6521,6165,17553,7886,6828,8730,8494,8922,9256,10048,9332,9999,12580,10901,9974,20454,10219,15908,11426,12352,12262,12596,11276,14515,13546,12714,13314,26012,19230,14726,18632,13854,13953,15823,23898,22311,18848,14991,15458,16440,18174,16011,16745,18125,17799,17392,17905,18807,19889,18529,19994,19647,20668,19978,19021,37686,30292,22843
2019,21332,4684,2842,2191,5865,2986,3076,4125,3802,4645,5455,7008,6704,12454,6569,5975,6546,19686,8107,9662,6996,6467,17717,8446,6926,8387,8706,9106,9282,10374,9351,9498,13250,10894,9916,17657,10355,12900,11367,12435,12376,12746,11636,13368,13729,12329,13424,29417,19146,14431,16897,13970,14202,16753,26107,20175,19986,14681,15464,16739,18327,15908,16763,18953,18311,17247,17963,18709,19226,18010,20298,19197,21342,20004,20093,37459,29136,22979
2020,9009,2918,1700,1367,2105,1724,2939,2622,2611,2901,3469,3430,4224,7515,4084,3862,4301,14738,5485,6292,5117,3775,13011,5376,4708,4815,5641,5990,5932,6256,6125,6719,9031,6871,6457,8328,6788,7591,7452,8099,8741,8508,8449,8520,8984,7833,8674,19398,11993,9352,11030,9259,9185,10619,15789,13527,15091,9743,10133,11198,11939,10555,10793,12292,11736,11349,11670,12211,12988,11827,13409,12578,13809,13339,12950,21481,18585,15799
